model,detector,stream,seed,n_samples,accuracy,retrains,n_drift_events,throughput_samples_per_s,elapsed_s,latency_p50_us,latency_p95_us,latency_p99_us,latency_mean_us,true_drifts,true_positives,false_positives,missed,mean_detection_delay,penalized_detection_delay,false_positive_rate,miss_rate
sgd_logistic,ddm,hyperplane,1337,2000,0.8182936310768127,0,0,998.331239416897,2.003343099999711,161.8,374.03499999999997,586.246,194.33433333333332,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,ddm,hyperplane,2024,2000,0.7883709073066711,0,0,958.6390852781955,2.086290899999767,161.75,435.215,702.3159999999999,203.75850000000003,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,eddm,sea,42,2000,0.7438112497329712,12,12,1007.2182801659171,1.9856668999996145,160.4,360.1449999999997,606.429,194.33455555555554,3,3,9,0,75.33333333333333,75.33333333333333,0.75,0.0
sgd_logistic,eddm,sea,1337,2000,0.7410503625869751,8,8,974.8811156853085,2.051532199999656,162.1,408.7749999999999,692.934,201.14944444444444,3,3,5,0,441.0,441.0,0.625,0.0
sgd_logistic,eddm,sea,2024,2000,0.7542158961296082,6,6,1006.8916700355004,1.9863110000001143,159.4,345.36999999999995,623.3889999999999,191.41677777777775,3,2,4,1,39.0,39.0,0.6666666666666666,0.3333333333333333
sgd_logistic,eddm,hyperplane,42,2000,0.8028051257133484,2,2,879.7565080316973,2.2733563000001595,164.3,548.05,843.2749999999999,223.23538888888885,2,0,2,2,,2000.0,1.0,1.0
sgd_logistic,eddm,hyperplane,1337,2000,0.814044713973999,4,4,965.2068974072495,2.072094599999673,158.7,452.905,709.013,201.32344444444445,2,2,2,0,116.0,116.0,0.5,0.0
sgd_logistic,eddm,hyperplane,2024,2000,0.785068690776825,1,1,1008.7742172643594,1.9826041999999688,162.0,360.67499999999967,637.685,191.41205555555555,2,0,1,2,,2000.0,1.0,1.0
sgd_logistic,kswin,sea,42,2000,0.7657858729362488,1,1,671.6156907559127,2.9778934999999365,170.3,365.8149999999999,615.915,198.38055555555556,3,1,0,2,40.0,40.0,0.0,0.6666666666666666
sgd_logistic,kswin,sea,1337,2000,0.7468238472938538,3,3,692.0628112054923,2.889911100000063,172.45,359.4749999999999,569.299,199.35322222222223,3,3,0,0,314.3333333333333,314.3333333333333,0.0,0.0
sgd_logistic,kswin,sea,2024,2000,0.7612816095352173,2,2,663.8160194073529,3.0128829999998743,174.25,380.3149999999999,662.5969999999999,204.67855555555556,3,2,0,1,508.0,508.0,0.0,0.3333333333333333
sgd_logistic,kswin,hyperplane,42,2000,0.8091554045677185,2,2,674.1004895756537,2.9669166999997287,174.1,380.5849999999999,562.7040000000001,201.6146666666667,2,1,1,1,178.0,178.0,0.5,0.5
sgd_logistic,kswin,hyperplane,1337,2000,0.7997105121612549,6,6,729.3614327604616,2.742124700000204,169.7,414.34999999999997,625.026,203.30505555555555,2,2,4,0,272.5,272.5,0.6666666666666666,0.0
sgd_logistic,kswin,hyperplane,2024,2000,0.7763365507125854,4,4,690.4735025614264,2.896563000000242,174.85000000000002,400.605,587.5159999999998,205.79833333333335,2,2,2,0,381.5,381.5,0.5,0.0
